,id,age,dietary considerations,state,user agent
260,855,28,"['none', 'vegetarian']",Tasmania,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/5.0)
171,109,20,"['nut allergy', 'lactose intolerant']",Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/5.1)
83,377,10,"['celiac', 'vegan']",South Australia,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/3.1)
627,454,71,[],New South Wales,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/5.0)
9,66,2,[],Tasmania,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/5.0)
750,933,85,"['vegetarian', 'lactose intolerant']",Victoria,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/5.0)
890,26,103,"['none', 'vegan']",Tasmania,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/4.0)
81,204,10,['none'],New South Wales,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/4.1)
401,978,45,"['vegan', 'celiac']",Northern Territory,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/3.1)
827,739,96,['celiac'],Tasmania,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/3.1)
416,875,47,['nut allergy'],Tasmania,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/4.1)
773,905,88,"['nut allergy', 'vegetarian']",Northern Territory,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/5.1)
628,939,71,"['vegetarian', 'vegan']",Western Australia,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/3.1)
58,209,8,"['vegan', 'lactose intolerant']",South Australia,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/3.0)
114,452,12,[],Tasmania,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/3.1)
503,807,56,"['nut allergy', 'nut allergy']",Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/4.0)
978,409,114,['celiac'],Northern Territory,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/4.0)
696,528,79,[],Northern Territory,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/4.0)
463,403,52,[],Northern Territory,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/5.0)
47,880,6,['lactose intolerant'],Queensland,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/5.1)
749,864,85,['nut allergy'],South Australia,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.0)
776,668,89,[],Queensland,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.1)
746,311,85,"['lactose intolerant', 'celiac']",South Australia,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/4.0)
222,609,25,['celiac'],Western Australia,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/5.0)
586,781,67,['lactose intolerant'],Victoria,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/3.1)
252,160,28,"['vegan', 'none']",Western Australia,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/3.1)
193,583,22,[],Western Australia,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/5.0)
606,500,69,"['vegetarian', 'lactose intolerant']",Tasmania,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/3.1)
909,988,104,[],Tasmania,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/4.1)
158,675,18,[],Western Australia,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/4.1)
454,424,51,['nut allergy'],Western Australia,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/3.0)
246,822,27,['none'],Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/4.0)
793,886,91,['celiac'],Western Australia,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/5.0)
130,620,14,['celiac'],Northern Territory,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/5.1)
244,641,27,['nut allergy'],New South Wales,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/3.1)
88,710,10,['celiac'],Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/4.0)
900,47,104,[],Queensland,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/4.0)
415,871,47,"['vegan', 'celiac']",Western Australia,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/4.1)
715,217,82,[],Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/5.0)
403,214,46,[],Queensland,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/4.0)
303,584,32,"['none', 'nut allergy']",South Australia,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/4.0)
17,224,3,[],Northern Territory,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/5.0)
330,969,35,"['nut allergy', 'vegetarian']",Western Australia,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/3.1)
914,582,105,['none'],Northern Territory,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/5.1)
199,284,23,['nut allergy'],Victoria,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/3.0)
635,88,73,"['celiac', 'celiac']",Victoria,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/3.1)
877,313,102,[],Western Australia,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/4.1)
740,967,84,['none'],Tasmania,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/5.1)
198,914,22,[],New South Wales,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/3.1)
137,568,15,"['none', 'nut allergy']",Northern Territory,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/4.0)
809,717,94,[],Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/3.0)
204,776,23,"['celiac', 'vegetarian']",Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/3.0)
440,131,50,"['vegetarian', 'none']",Tasmania,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/3.1)
374,90,43,['vegetarian'],New South Wales,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/5.0)
490,753,54,[],South Australia,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/5.0)
830,477,97,"['nut allergy', 'vegetarian']",Western Australia,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/5.1)
993,185,116,['none'],New South Wales,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/3.0)
393,412,45,['lactose intolerant'],South Australia,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/3.1)
383,455,44,['lactose intolerant'],Western Australia,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/5.0)
447,650,50,[],Tasmania,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/4.1)
406,861,46,['vegetarian'],Western Australia,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/5.0)
387,870,44,['celiac'],Northern Territory,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
786,449,90,"['lactose intolerant', 'lactose intolerant']",Queensland,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/4.1)
228,150,26,[],Queensland,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/5.0)
660,910,75,['none'],Victoria,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/5.0)
975,908,113,[],New South Wales,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/3.0)
3,669,1,['vegan'],Tasmania,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/3.1)
756,658,86,['none'],New South Wales,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/4.1)
233,599,26,"['none', 'celiac']",Tasmania,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/5.1)
837,194,98,"['lactose intolerant', 'none']",New South Wales,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/4.1)
203,769,23,['lactose intolerant'],Queensland,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/4.1)
64,527,8,[],South Australia,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/4.1)
352,42,40,['celiac'],Victoria,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/4.1)
738,570,84,"['none', 'celiac']",Western Australia,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/5.1)
70,957,8,[],Northern Territory,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/4.0)
357,707,40,[],Tasmania,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/4.1)
465,474,52,"['lactose intolerant', 'vegetarian']",Tasmania,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/5.0)
451,865,50,"['lactose intolerant', 'lactose intolerant']",Queensland,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/5.1)
92,923,10,[],Victoria,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/5.1)
473,197,53,['nut allergy'],Tasmania,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/3.1)
467,507,52,['celiac'],Western Australia,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/3.1)
913,519,105,[],Victoria,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/4.1)
554,606,62,['nut allergy'],Tasmania,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/5.1)
377,610,43,['none'],Western Australia,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/3.0)
101,826,11,[],Western Australia,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/3.1)
317,62,34,"['lactose intolerant', 'vegetarian']",Tasmania,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0)
884,811,102,[],Northern Territory,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/5.0)
984,133,115,['nut allergy'],Victoria,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/5.0)
458,661,51,"['celiac', 'lactose intolerant']",Victoria,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/5.0)
109,275,12,[],Northern Territory,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/4.1)
338,495,37,[],South Australia,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/4.1)
679,316,78,"['nut allergy', 'vegan']",Western Australia,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/3.0)
93,20,11,"['celiac', 'nut allergy']",New South Wales,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/3.1)
324,288,35,['celiac'],New South Wales,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 4.0; Trident/5.1)
652,646,74,"['vegetarian', 'vegan']",Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/4.1)
500,319,56,['vegetarian'],South Australia,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/4.1)
647,936,73,['celiac'],Western Australia,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/5.1)
42,343,6,[],Victoria,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/3.0)
364,892,41,[],Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/4.0)
729,530,83,['celiac'],Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/4.1)
215,895,24,[],Victoria,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/5.0)
832,688,97,[],Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/3.0)
929,735,107,['nut allergy'],Western Australia,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/3.0)
743,103,85,"['none', 'celiac']",New South Wales,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.1)
616,314,70,['lactose intolerant'],Western Australia,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/5.0)
396,802,45,"['nut allergy', 'none']",Tasmania,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/3.1)
907,719,104,['lactose intolerant'],Victoria,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/4.0)
216,8,25,['lactose intolerant'],Northern Territory,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/3.1)
212,600,24,['vegan'],Tasmania,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/4.1)
105,3,12,"['celiac', 'none']",Western Australia,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.1)
107,178,12,['vegan'],Tasmania,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0)
223,653,25,[],Western Australia,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0)
556,30,63,"['vegan', 'none']",Western Australia,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/5.1)
239,218,27,"['lactose intolerant', 'vegan']",Northern Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/3.0)
469,798,52,"['celiac', 'vegetarian']",Tasmania,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/4.0)
398,856,45,['vegetarian'],Tasmania,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/5.1)
207,154,24,['lactose intolerant'],Northern Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/3.1)
736,61,84,"['vegan', 'vegan']",Northern Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/4.0)
621,533,70,['vegetarian'],Northern Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/5.0)
925,21,107,[],Victoria,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/5.1)
662,183,76,"['nut allergy', 'none']",Victoria,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/5.1)
297,754,31,['lactose intolerant'],Northern Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/3.0)
933,386,108,[],Victoria,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/4.1)
4,715,1,[],Victoria,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/5.1)
123,943,13,['vegetarian'],Northern Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/4.0)
179,977,20,"['nut allergy', 'celiac']",New South Wales,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/5.1)
794,181,92,['nut allergy'],Victoria,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/3.0)
960,553,111,[],Victoria,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/3.1)
526,283,59,"['vegan', 'none']",Tasmania,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/4.0)
302,357,32,"['celiac', 'vegetarian']",Victoria,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/4.0)
668,249,77,"['vegetarian', 'lactose intolerant']",New South Wales,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/5.0)
259,732,28,[],Northern Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/5.0)
273,627,29,[],Tasmania,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/3.1)
818,740,95,['vegan'],New South Wales,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/4.0)
688,180,79,['vegan'],Western Australia,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/4.0)
725,59,83,"['vegan', 'nut allergy']",Victoria,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/5.0)
63,480,8,"['lactose intolerant', 'celiac']",Western Australia,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/4.0)
218,136,25,"['none', 'nut allergy']",Western Australia,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/4.1)
577,983,65,['celiac'],Western Australia,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/5.0)
726,91,83,[],Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.1)
546,948,61,['vegan'],Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.1)
857,831,99,['vegetarian'],Northern Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/5.1)
618,389,70,['nut allergy'],Queensland,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/3.0)
159,805,18,[],Queensland,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/3.0)
230,359,26,"['lactose intolerant', 'none']",Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.1)
615,279,70,[],Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/5.1)
564,143,64,['nut allergy'],Victoria,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/3.0)
1,211,1,[],Northern Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/3.1)
99,489,11,['vegan'],Tasmania,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/3.1)
889,18,103,[],New South Wales,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0)
584,320,67,['none'],Queensland,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/5.1)
611,690,69,[],Queensland,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/5.1)
189,503,22,"['lactose intolerant', 'none']",Tasmania,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/3.0)
154,904,17,[],Northern Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)
866,882,100,[],Victoria,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.1)
744,244,85,[],South Australia,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.0)
797,899,92,"['vegan', 'celiac']",New South Wales,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.1)
7,960,1,['nut allergy'],Tasmania,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/3.0)
563,11,64,[],Northern Territory,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.0)
713,50,82,['none'],Tasmania,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.0)
613,31,70,['celiac'],Western Australia,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.0)
583,32,67,"['vegan', 'celiac']",Queensland,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.1)
693,438,79,"['vegetarian', 'nut allergy']",Western Australia,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.1)
573,122,65,['celiac'],Tasmania,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/4.0)
932,132,108,['lactose intolerant'],Victoria,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/4.1)
71,994,8,['vegetarian'],Northern Territory,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/5.0)
477,716,53,['vegetarian'],Northern Territory,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/4.0)
36,509,5,[],Queensland,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/4.0)
601,48,69,"['vegan', 'vegetarian']",Western Australia,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/5.0)
196,854,22,[],New South Wales,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/5.0)
848,40,99,[],Western Australia,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/5.1)
85,595,10,"['none', 'nut allergy']",Western Australia,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/4.0)
272,544,29,"['vegan', 'lactose intolerant']",South Australia,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/5.1)
455,450,51,[],Western Australia,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/3.0)
801,663,93,[],Queensland,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/3.1)
367,295,42,[],Western Australia,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/4.0)
280,174,30,[],Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.0)
141,13,16,['none'],Western Australia,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.0)
804,280,94,['lactose intolerant'],Northern Territory,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/5.0)
459,692,51,"['vegan', 'celiac']",Queensland,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/5.1)
173,315,20,"['lactose intolerant', 'nut allergy']",Australian Capital Territory,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/3.0)
